int: K, (1, 1)
deepWhileBr: I, (1, 5)
(: D, (1, 16)
int: K, (1, 17)
a: I, (1, 21)
,: D, (1, 22)
int: K, (1, 24)
b: I, (1, 28)
): D, (1, 29)
{: D, (1, 31)
int: K, (2, 3)
c: I, (2, 7)
;: D, (2, 8)
c: I, (3, 3)
=: O, (3, 5)
a: I, (3, 7)
+: O, (3, 9)
b: I, (3, 11)
;: D, (3, 12)
while: K, (4, 3)
(: D, (4, 9)
c: I, (4, 10)
<: O, (4, 12)
75: C, (4, 14)
): D, (4, 16)
{: D, (4, 18)
int: K, (5, 5)
d: I, (5, 9)
;: D, (5, 10)
d: I, (6, 5)
=: O, (6, 7)
42: C, (6, 9)
;: D, (6, 11)
if: K, (7, 5)
(: D, (7, 8)
c: I, (7, 9)
<: O, (7, 11)
100: C, (7, 13)
): D, (7, 16)
{: D, (7, 18)
c: I, (8, 7)
=: O, (8, 9)
c: I, (8, 11)
+: O, (8, 13)
d: I, (8, 15)
;: D, (8, 16)
if: K, (9, 7)
(: D, (9, 10)
c: I, (9, 11)
>: O, (9, 13)
99: C, (9, 15)
): D, (9, 17)
{: D, (9, 19)
int: K, (10, 9)
e: I, (10, 13)
;: D, (10, 14)
e: I, (11, 9)
=: O, (11, 11)
d: I, (11, 13)
*: O, (11, 15)
2: C, (11, 17)
;: D, (11, 18)
if: K, (12, 9)
(: D, (12, 12)
1: C, (12, 13)
==: O, (12, 15)
1: C, (12, 18)
): D, (12, 19)
{: D, (12, 21)
c: I, (13, 11)
=: O, (13, 13)
e: I, (13, 15)
*: O, (13, 17)
2: C, (13, 19)
;: D, (13, 20)
}: D, (14, 9)
}: D, (15, 7)
}: D, (16, 5)
}: D, (17, 3)
return: K, (18, 3)
(: D, (18, 10)
c: I, (18, 11)
): D, (18, 12)
;: D, (18, 13)
}: D, (19, 1)
int: K, (21, 1)
main: K, (21, 5)
(: D, (21, 9)
): D, (21, 10)
{: D, (21, 12)
int: K, (22, 3)
p: I, (22, 7)
;: D, (22, 8)
p: I, (23, 3)
=: O, (23, 5)
2: C, (23, 7)
;: D, (23, 8)
return: K, (24, 3)
deepWhileBr: I, (24, 10)
(: D, (24, 21)
p: I, (24, 22)
,: D, (24, 23)
p: I, (24, 25)
): D, (24, 26)
;: D, (24, 27)
}: D, (25, 1)
